Reference vector (1/18): 0.9965845, 0.082579345
1/100: weights=[0.64714986 1.3528502 ], train_loss=[1.886674  2.0196874], train_acc=[0.33758333 0.299125  ], test_loss=[1.8804067 2.0031583], test_acc=[0.3363  0.30795]
86/100: weights=[1.5104632  0.48953673], train_loss=[0.70449615 0.98370034], train_acc=[0.77015833 0.661825  ], test_loss=[0.69124013 0.9859046 ], test_acc=[0.7728 0.6641]
88/100: weights=[1.1256136 0.8743864], train_loss=[0.69609684 0.97246903], train_acc=[0.77451667 0.66663333], test_loss=[0.6836372 0.9742683], test_acc=[0.77425 0.66775]
90/100: weights=[0.989397  1.0106031], train_loss=[0.6912941 0.9617435], train_acc=[0.77658333 0.67065   ], test_loss=[0.67993265 0.9628191 ], test_acc=[0.7776  0.67185]
92/100: weights=[1.092855  0.9071451], train_loss=[0.68794924 0.9545931 ], train_acc=[0.77675833 0.67399167], test_loss=[0.6764084 0.9576424], test_acc=[0.7795  0.67335]
94/100: weights=[1.1780205  0.82197946], train_loss=[0.6831845 0.9463043], train_acc=[0.77955    0.67691667], test_loss=[0.67315257 0.9489675 ], test_acc=[0.7793  0.67865]
96/100: weights=[0.5345725 1.4654275], train_loss=[0.67407894 0.9374704 ], train_acc=[0.78130833 0.67904167], test_loss=[0.6619809 0.9373872], test_acc=[0.78195 0.68005]
98/100: weights=[1.1321646 0.8678354], train_loss=[0.67315245 0.9258847 ], train_acc=[0.78180833 0.68361667], test_loss=[0.66168284 0.92637616], test_acc=[0.7822  0.68615]
100/100: weights=[0.6273156 1.3726844], train_loss=[0.66647017 0.91907835], train_acc=[0.78380833 0.686     ], test_loss=[0.6544303 0.9189641], test_acc=[0.78465 0.6874 ]
Reference vector (7/18): 0.8371665, 0.54694813
1/100: weights=[0.85705954 1.1429404 ], train_loss=[1.983988  2.0534012], train_acc=[0.294925 0.277825], test_loss=[1.9682689 2.0386071], test_acc=[0.2931 0.2902]
2/100: weights=[1.3345125 0.6654875], train_loss=[1.7396914 1.8471417], train_acc=[0.39969167 0.36145833], test_loss=[1.7308767 1.8235084], test_acc=[0.3989 0.3714]
4/100: weights=[1.0523121  0.94768786], train_loss=[1.4551104 1.5522058], train_acc=[0.5039   0.461975], test_loss=[1.4536971 1.526966 ], test_acc=[0.5037 0.4748]
6/100: weights=[0.98590016 1.0140998 ], train_loss=[1.2484316 1.3619798], train_acc=[0.58156667 0.528225  ], test_loss=[1.2451761 1.3404508], test_acc=[0.5794  0.54075]
8/100: weights=[0.80808026 1.1919198 ], train_loss=[1.1054718 1.2148345], train_acc=[0.63208333 0.583125  ], test_loss=[1.0958385 1.1948267], test_acc=[0.6303  0.59575]
10/100: weights=[1.1072749  0.89272517], train_loss=[1.0035596 1.1061442], train_acc=[0.66821667 0.62230833], test_loss=[0.98867965 1.0961461 ], test_acc=[0.66945 0.62935]
12/100: weights=[1.1526014 0.8473987], train_loss=[0.9171113 1.0274009], train_acc=[0.69731667 0.65155   ], test_loss=[0.8978882 1.0182292], test_acc=[0.70235 0.65655]
14/100: weights=[0.5040939 1.4959061], train_loss=[0.8494468  0.96449655], train_acc=[0.72246667 0.67351667], test_loss=[0.8295954 0.9561113], test_acc=[0.72625 0.6784 ]
16/100: weights=[1.0547945  0.94520545], train_loss=[0.8051297 0.9129347], train_acc=[0.73850833 0.68999167], test_loss=[0.7848446 0.90486  ], test_acc=[0.74205 0.69155]
18/100: weights=[1.2842258  0.71577424], train_loss=[0.7645537  0.87361765], train_acc=[0.75163333 0.70355   ], test_loss=[0.74341476 0.8646759 ], test_acc=[0.75725 0.7047 ]
20/100: weights=[0.770621 1.229379], train_loss=[0.7334738  0.84038407], train_acc=[0.76213333 0.71603333], test_loss=[0.7123712 0.8306389], test_acc=[0.76705 0.71735]
22/100: weights=[1.2342916  0.76570845], train_loss=[0.7049512  0.81373286], train_acc=[0.77191667 0.72455   ], test_loss=[0.6845783  0.80443954], test_acc=[0.77665 0.72615]
24/100: weights=[1.4015461 0.5984539], train_loss=[0.6871895 0.7914876], train_acc=[0.77816667 0.73193333], test_loss=[0.6659967 0.7796949], test_acc=[0.78405 0.7343 ]
26/100: weights=[0.97065455 1.0293455 ], train_loss=[0.67245054 0.7760214 ], train_acc=[0.78245    0.73765833], test_loss=[0.6557411 0.7635039], test_acc=[0.78685 0.7392 ]
28/100: weights=[1.1120166 0.8879835], train_loss=[0.6503507  0.75484025], train_acc=[0.79056667 0.74641667], test_loss=[0.63409984 0.7442912 ], test_acc=[0.79415 0.74745]
30/100: weights=[0.66491485 1.3350852 ], train_loss=[0.63031775 0.7405375 ], train_acc=[0.79725833 0.75043333], test_loss=[0.6144051  0.72886753], test_acc=[0.7985 0.7523]
32/100: weights=[1.2791367  0.72086334], train_loss=[0.61964816 0.73229605], train_acc=[0.80091667 0.7546    ], test_loss=[0.60493886 0.7192684 ], test_acc=[0.8009  0.75745]
34/100: weights=[1.3716925 0.6283074], train_loss=[0.6067941 0.7142242], train_acc=[0.80429167 0.75966667], test_loss=[0.5928765  0.70217335], test_acc=[0.8064 0.7623]
36/100: weights=[1.3987166 0.6012834], train_loss=[0.5940668  0.70470375], train_acc=[0.80908333 0.76263333], test_loss=[0.5800921  0.69260454], test_acc=[0.80985 0.7644 ]
38/100: weights=[0.58236307 1.417637  ], train_loss=[0.5853138 0.7008951], train_acc=[0.81124167 0.76458333], test_loss=[0.5728756 0.6890503], test_acc=[0.81165 0.765  ]
40/100: weights=[0.49535644 1.5046436 ], train_loss=[0.57386047 0.6838284 ], train_acc=[0.81560833 0.770725  ], test_loss=[0.56499857 0.67070174], test_acc=[0.81475 0.77365]
42/100: weights=[0.9247875 1.0752125], train_loss=[0.56442904 0.67332166], train_acc=[0.81853333 0.77425   ], test_loss=[0.556406   0.66108096], test_acc=[0.81775 0.7778 ]
44/100: weights=[0.68024737 1.3197526 ], train_loss=[0.5562116 0.6654882], train_acc=[0.82069167 0.77771667], test_loss=[0.54638714 0.6541941 ], test_acc=[0.81975 0.7804 ]
46/100: weights=[0.7115983 1.2884017], train_loss=[0.5521462  0.66174746], train_acc=[0.82229167 0.77845833], test_loss=[0.54517645 0.65103376], test_acc=[0.82115 0.7804 ]
48/100: weights=[0.85975474 1.1402452 ], train_loss=[0.54045326 0.6510361 ], train_acc=[0.82588333 0.78070833], test_loss=[0.53333324 0.63803476], test_acc=[0.82455 0.7831 ]
50/100: weights=[1.629663   0.37033707], train_loss=[0.53652525 0.64427197], train_acc=[0.82770833 0.78288333], test_loss=[0.53057474 0.6315493 ], test_acc=[0.82655 0.78635]
52/100: weights=[0.6363904 1.3636096], train_loss=[0.52918315 0.6375045 ], train_acc=[0.82968333 0.78655833], test_loss=[0.5226669 0.6243857], test_acc=[0.8282 0.7892]
54/100: weights=[0.23992401 1.7600759 ], train_loss=[0.5251526  0.62899625], train_acc=[0.83066667 0.78753333], test_loss=[0.51747614 0.6162993 ], test_acc=[0.8289  0.79095]
56/100: weights=[1.2317848 0.7682152], train_loss=[0.5160506  0.62314624], train_acc=[0.83365    0.79160833], test_loss=[0.5108468 0.6110763], test_acc=[0.8323 0.7937]
58/100: weights=[0.7318173 1.2681826], train_loss=[0.51303494 0.6185969 ], train_acc=[0.834325 0.791675], test_loss=[0.5071408  0.60506344], test_acc=[0.8318 0.7951]
60/100: weights=[0.6413621 1.3586379], train_loss=[0.5076737 0.6093749], train_acc=[0.83610833 0.795525  ], test_loss=[0.50160366 0.5961278 ], test_acc=[0.8347  0.79875]
62/100: weights=[0.80176485 1.1982352 ], train_loss=[0.49985042 0.6058554 ], train_acc=[0.83848333 0.79655833], test_loss=[0.4957325 0.5923983], test_acc=[0.8365 0.7993]
64/100: weights=[0.8940767 1.1059233], train_loss=[0.49793735 0.6065125 ], train_acc=[0.83946667 0.79774167], test_loss=[0.4923462  0.59319586], test_acc=[0.83795 0.80035]
66/100: weights=[1.4456209  0.55437905], train_loss=[0.50054336 0.59415096], train_acc=[0.83741667 0.79985   ], test_loss=[0.4984501  0.58095145], test_acc=[0.83485 0.8036 ]
68/100: weights=[0.7812558 1.2187443], train_loss=[0.4930459 0.595875 ], train_acc=[0.84056667 0.8       ], test_loss=[0.48778236 0.5840815 ], test_acc=[0.8399  0.80375]
70/100: weights=[0.8094192 1.1905808], train_loss=[0.4834685 0.5882005], train_acc=[0.84390833 0.802625  ], test_loss=[0.4794214 0.5765018], test_acc=[0.843  0.8055]
72/100: weights=[1.4411128 0.5588872], train_loss=[0.48066023 0.5810155 ], train_acc=[0.84505    0.80429167], test_loss=[0.47743604 0.5694455 ], test_acc=[0.84275 0.80765]
74/100: weights=[1.248263   0.75173706], train_loss=[0.4736398 0.577708 ], train_acc=[0.8474   0.806075], test_loss=[0.4717795 0.5670326], test_acc=[0.8465  0.80995]
76/100: weights=[1.0305152 0.9694848], train_loss=[0.47014457 0.5746041 ], train_acc=[0.84845 0.8076 ], test_loss=[0.46945953 0.56291854], test_acc=[0.8469 0.8097]
78/100: weights=[1.6436982  0.35630172], train_loss=[0.46846384 0.5681681 ], train_acc=[0.84848333 0.80964167], test_loss=[0.4671332 0.5573845], test_acc=[0.84715 0.8124 ]
80/100: weights=[0.7543515 1.2456485], train_loss=[0.4638409 0.5659514], train_acc=[0.85054167 0.8103    ], test_loss=[0.46471736 0.556357  ], test_acc=[0.84915 0.8129 ]
82/100: weights=[1.2482998  0.75170016], train_loss=[0.4601823 0.5641978], train_acc=[0.85165    0.81216667], test_loss=[0.46004373 0.55429864], test_acc=[0.84945 0.8147 ]
84/100: weights=[0.82322794 1.1767721 ], train_loss=[0.4587443 0.5588661], train_acc=[0.851775   0.81171667], test_loss=[0.45831808 0.54639864], test_acc=[0.84925 0.81475]
86/100: weights=[1.3388901  0.66110986], train_loss=[0.45279387 0.5542145 ], train_acc=[0.85383333 0.81393333], test_loss=[0.4516779 0.5436953], test_acc=[0.85255 0.8164 ]
88/100: weights=[1.559217   0.44078296], train_loss=[0.45866823 0.55000526], train_acc=[0.85113333 0.81480833], test_loss=[0.4611142 0.5393395], test_acc=[0.8513  0.81775]
90/100: weights=[0.68585604 1.314144  ], train_loss=[0.44653243 0.55111945], train_acc=[0.85629167 0.81455   ], test_loss=[0.44811183 0.54173225], test_acc=[0.8527  0.81585]
92/100: weights=[0.96827495 1.031725  ], train_loss=[0.4442938  0.54474306], train_acc=[0.856875 0.81645 ], test_loss=[0.44450134 0.53430855], test_acc=[0.85515 0.819  ]
94/100: weights=[1.3427706 0.6572294], train_loss=[0.4419421 0.5433475], train_acc=[0.85795833 0.81731667], test_loss=[0.44332042 0.53380275], test_acc=[0.8556  0.82065]
96/100: weights=[0.9051952 1.0948049], train_loss=[0.4381276  0.53645533], train_acc=[0.85949167 0.81979167], test_loss=[0.43892404 0.5274027 ], test_acc=[0.8558  0.82225]
98/100: weights=[0.8752225 1.1247774], train_loss=[0.43602735 0.53652227], train_acc=[0.859375   0.81930833], test_loss=[0.4376053  0.52743626], test_acc=[0.85785 0.82265]
100/100: weights=[0.98267907 1.0173209 ], train_loss=[0.4340816 0.5310943], train_acc=[0.85996667 0.820725  ], test_loss=[0.43803647 0.5213255 ], test_acc=[0.8563  0.82385]
Reference vector (8/18): 0.7891405, 0.6142127
1/100: weights=[1.0511932 0.9488068], train_loss=[1.7188212 1.8714386], train_acc=[0.42529167 0.35336667], test_loss=[1.7032533 1.8660038], test_acc=[0.429   0.35495]
2/100: weights=[1.2411195  0.75888044], train_loss=[1.4157166 1.5071539], train_acc=[0.53164167 0.48458333], test_loss=[1.3924145 1.4968342], test_acc=[0.5359 0.492 ]
4/100: weights=[0.9601955 1.0398046], train_loss=[1.0851122 1.2032884], train_acc=[0.64461667 0.588025  ], test_loss=[1.0608125 1.193733 ], test_acc=[0.6464 0.5917]
6/100: weights=[0.9785923 1.0214077], train_loss=[0.92639834 1.052949  ], train_acc=[0.69896667 0.642125  ], test_loss=[0.90227675 1.037624  ], test_acc=[0.7002  0.64595]
8/100: weights=[1.1336449  0.86635506], train_loss=[0.8297468  0.95862657], train_acc=[0.731275   0.67584167], test_loss=[0.8070386 0.9419586], test_acc=[0.73415 0.6811 ]
10/100: weights=[1.3076919 0.692308 ], train_loss=[0.7602118  0.88735014], train_acc=[0.75453333 0.701125  ], test_loss=[0.737274  0.8714457], test_acc=[0.7587 0.706 ]
12/100: weights=[1.378881 0.621119], train_loss=[0.7069069 0.836085 ], train_acc=[0.77176667 0.71889167], test_loss=[0.68601847 0.8209273 ], test_acc=[0.7746 0.7248]
14/100: weights=[1.118848  0.8811521], train_loss=[0.67228144 0.79714054], train_acc=[0.782275 0.73325 ], test_loss=[0.6511403 0.7827301], test_acc=[0.78485 0.73695]
16/100: weights=[1.4178544 0.5821456], train_loss=[0.6373992 0.7678664], train_acc=[0.794825 0.744275], test_loss=[0.6182413 0.7591939], test_acc=[0.7959  0.74545]
18/100: weights=[0.9519932 1.0480068], train_loss=[0.608618   0.73430854], train_acc=[0.80465833 0.75463333], test_loss=[0.59180987 0.72327745], test_acc=[0.80705 0.75645]
20/100: weights=[1.1280028 0.8719972], train_loss=[0.58672017 0.7131668 ], train_acc=[0.81135    0.76219167], test_loss=[0.5706491  0.70293194], test_acc=[0.8145  0.76475]
22/100: weights=[1.0765338 0.9234662], train_loss=[0.5670429 0.6981672], train_acc=[0.81768333 0.76688333], test_loss=[0.5515222 0.6857015], test_acc=[0.82    0.77025]
24/100: weights=[0.5561681 1.4438319], train_loss=[0.55280733 0.67535925], train_acc=[0.82205833 0.77531667], test_loss=[0.54120183 0.6648262 ], test_acc=[0.82185 0.7765 ]
26/100: weights=[0.6465387 1.3534613], train_loss=[0.5376789 0.6592273], train_acc=[0.82724167 0.77961667], test_loss=[0.52462333 0.6474848 ], test_acc=[0.8275  0.78365]
28/100: weights=[0.50234956 1.4976505 ], train_loss=[0.5277178  0.64868087], train_acc=[0.829825   0.78344167], test_loss=[0.514614   0.64031297], test_acc=[0.82945 0.7864 ]
30/100: weights=[0.5613581 1.4386419], train_loss=[0.5109645 0.647193 ], train_acc=[0.83569167 0.784775  ], test_loss=[0.49907365 0.63533217], test_acc=[0.838   0.78705]
32/100: weights=[0.60779834 1.3922017 ], train_loss=[0.4981985 0.6211823], train_acc=[0.84008333 0.793325  ], test_loss=[0.48827517 0.61144775], test_acc=[0.84065 0.7949 ]
34/100: weights=[0.7054515 1.2945485], train_loss=[0.48965096 0.6091369 ], train_acc=[0.84169167 0.79738333], test_loss=[0.47948563 0.5997998 ], test_acc=[0.84185 0.79785]
36/100: weights=[0.87781847 1.1221815 ], train_loss=[0.47995323 0.60383636], train_acc=[0.84520833 0.800325  ], test_loss=[0.47132516 0.59889036], test_acc=[0.84595 0.7993 ]
38/100: weights=[0.7521264 1.2478735], train_loss=[0.4726178 0.597374 ], train_acc=[0.84775833 0.80035   ], test_loss=[0.46200514 0.58767366], test_acc=[0.8476  0.80195]
40/100: weights=[1.2519993 0.7480008], train_loss=[0.46373755 0.5832221 ], train_acc=[0.85061667 0.80634167], test_loss=[0.4551428 0.578049 ], test_acc=[0.8523 0.806 ]
42/100: weights=[0.59509933 1.4049007 ], train_loss=[0.45757705 0.5735027 ], train_acc=[0.85235    0.80916667], test_loss=[0.4494137 0.5662505], test_acc=[0.8534  0.80895]
44/100: weights=[1.2298636  0.77013636], train_loss=[0.44997752 0.56633997], train_acc=[0.855  0.8118], test_loss=[0.44288725 0.5596247 ], test_acc=[0.85505 0.8118 ]
46/100: weights=[1.0858384 0.9141616], train_loss=[0.44770432 0.5612914 ], train_acc=[0.8554 0.8139], test_loss=[0.4396981  0.55716544], test_acc=[0.85715 0.81345]
48/100: weights=[0.85406506 1.1459349 ], train_loss=[0.4415349 0.5540934], train_acc=[0.85768333 0.81536667], test_loss=[0.43357256 0.54836684], test_acc=[0.8602  0.81545]
50/100: weights=[1.5980966  0.40190345], train_loss=[0.43220794 0.547608  ], train_acc=[0.86095833 0.81856667], test_loss=[0.42614815 0.5422689 ], test_acc=[0.8617 0.8188]
52/100: weights=[0.50852776 1.4914722 ], train_loss=[0.42848268 0.5416332 ], train_acc=[0.86191667 0.82025833], test_loss=[0.4222901  0.53643894], test_acc=[0.8619  0.82065]
54/100: weights=[1.0004252 0.9995748], train_loss=[0.4269341  0.54658115], train_acc=[0.86264167 0.81885833], test_loss=[0.41915536 0.54023397], test_acc=[0.86385 0.8172 ]
56/100: weights=[0.58343995 1.41656   ], train_loss=[0.41873378 0.52999866], train_acc=[0.86485833 0.82380833], test_loss=[0.41332346 0.5240129 ], test_acc=[0.8658 0.8243]
58/100: weights=[1.3279399  0.67206013], train_loss=[0.41647938 0.5264146 ], train_acc=[0.86550833 0.82494167], test_loss=[0.4118919  0.52319723], test_acc=[0.86635 0.82445]
60/100: weights=[0.76998174 1.2300183 ], train_loss=[0.40694264 0.52089745], train_acc=[0.86891667 0.828075  ], test_loss=[0.40272647 0.51751435], test_acc=[0.86865 0.82805]
62/100: weights=[1.1735072 0.8264927], train_loss=[0.4072871 0.5150995], train_acc=[0.86869167 0.8288    ], test_loss=[0.40251327 0.51102316], test_acc=[0.87045 0.82905]
64/100: weights=[0.6834737 1.3165263], train_loss=[0.40348625 0.5168144 ], train_acc=[0.86979167 0.827925  ], test_loss=[0.40158573 0.51239645], test_acc=[0.87    0.82815]
66/100: weights=[1.4105403  0.58945966], train_loss=[0.4035055 0.5067062], train_acc=[0.8692     0.83139167], test_loss=[0.40047216 0.5034628 ], test_acc=[0.86855 0.83235]
68/100: weights=[1.5394481 0.4605518], train_loss=[0.39587426 0.50269186], train_acc=[0.87264167 0.83290833], test_loss=[0.39131173 0.5004117 ], test_acc=[0.87225 0.8334 ]
70/100: weights=[1.408494 0.591506], train_loss=[0.39226848 0.50244623], train_acc=[0.87355    0.83295833], test_loss=[0.3900957  0.50348747], test_acc=[0.873   0.83285]
72/100: weights=[0.77368116 1.2263188 ], train_loss=[0.38921332 0.4938572 ], train_acc=[0.87413333 0.83576667], test_loss=[0.38774145 0.49323848], test_acc=[0.87195 0.835  ]
74/100: weights=[0.82681316 1.1731868 ], train_loss=[0.38380527 0.49129462], train_acc=[0.87588333 0.83699167], test_loss=[0.38301465 0.48825788], test_acc=[0.8744  0.83585]
76/100: weights=[0.7595795 1.2404206], train_loss=[0.38026434 0.488649  ], train_acc=[0.87731667 0.837325  ], test_loss=[0.3789781  0.48938945], test_acc=[0.8761  0.83645]
78/100: weights=[1.2134371  0.78656286], train_loss=[0.37803057 0.48420626], train_acc=[0.87815    0.83920833], test_loss=[0.37850684 0.48180816], test_acc=[0.87655 0.83795]
80/100: weights=[1.6725261 0.3274739], train_loss=[0.3861722  0.48181576], train_acc=[0.875125   0.84006667], test_loss=[0.38458326 0.48210937], test_acc=[0.8744 0.8384]
82/100: weights=[1.0479852 0.9520148], train_loss=[0.37467045 0.4817656 ], train_acc=[0.878875   0.83896667], test_loss=[0.37381876 0.48350328], test_acc=[0.87605 0.8364 ]
84/100: weights=[0.55106807 1.4489319 ], train_loss=[0.36787114 0.47228333], train_acc=[0.88198333 0.842825  ], test_loss=[0.3684008 0.4724533], test_acc=[0.88005 0.84065]
86/100: weights=[1.4014033  0.59859663], train_loss=[0.37043282 0.47226176], train_acc=[0.88078333 0.84248333], test_loss=[0.37288287 0.4715552 ], test_acc=[0.8779 0.8416]
88/100: weights=[1.7957275  0.20427252], train_loss=[0.38163796 0.46739903], train_acc=[0.87636667 0.843625  ], test_loss=[0.3865289  0.46884143], test_acc=[0.87425 0.84185]
90/100: weights=[0.9232232 1.0767769], train_loss=[0.36019343 0.46480438], train_acc=[0.88435    0.84540833], test_loss=[0.36316368 0.4668293 ], test_acc=[0.8832 0.844 ]
92/100: weights=[1.5221162  0.47788382], train_loss=[0.36067516 0.46244487], train_acc=[0.883275   0.84594167], test_loss=[0.36376965 0.4639827 ], test_acc=[0.88015 0.8425 ]
94/100: weights=[1.1829573  0.81704265], train_loss=[0.35916   0.4616437], train_acc=[0.8843     0.84518333], test_loss=[0.3624593  0.46647298], test_acc=[0.8808  0.84235]
96/100: weights=[0.95009303 1.049907  ], train_loss=[0.35366285 0.45643723], train_acc=[0.88590833 0.847125  ], test_loss=[0.35751677 0.45872682], test_acc=[0.88185 0.84535]
98/100: weights=[0.82528764 1.1747123 ], train_loss=[0.35656112 0.45544955], train_acc=[0.88466667 0.84795833], test_loss=[0.36024237 0.4572321 ], test_acc=[0.882   0.84545]
100/100: weights=[0.95031756 1.0496825 ], train_loss=[0.35184202 0.45036313], train_acc=[0.88643333 0.84975833], test_loss=[0.35635984 0.45515612], test_acc=[0.8828 0.8474]
Reference vector (9/18): 0.7357239, 0.67728156
1/100: weights=[0.893303 1.106697], train_loss=[1.6903522 1.9426827], train_acc=[0.43599167 0.33704167], test_loss=[1.6899678 1.9369631], test_acc=[0.434  0.3416]
2/100: weights=[0.924963 1.075037], train_loss=[1.3462121 1.5556905], train_acc=[0.554725   0.46960833], test_loss=[1.3347882 1.5442038], test_acc=[0.55875 0.4733 ]
4/100: weights=[1.2899507  0.71004933], train_loss=[1.0616753 1.225705 ], train_acc=[0.6501     0.58161667], test_loss=[1.0521193 1.2170669], test_acc=[0.6536 0.5874]
6/100: weights=[0.9175526 1.0824474], train_loss=[0.9382997 1.0828243], train_acc=[0.692625   0.63298333], test_loss=[0.9267779 1.0726327], test_acc=[0.69425 0.6366 ]
8/100: weights=[0.763035  1.2369651], train_loss=[0.8595112 0.9881727], train_acc=[0.71803333 0.66741667], test_loss=[0.8476439 0.9814971], test_acc=[0.72195 0.6698 ]
10/100: weights=[0.9004565 1.0995436], train_loss=[0.8083136 0.9213084], train_acc=[0.73515    0.69065833], test_loss=[0.79475665 0.91594875], test_acc=[0.739   0.69285]
12/100: weights=[0.69378525 1.3062147 ], train_loss=[0.76678735 0.87700456], train_acc=[0.75015833 0.70648333], test_loss=[0.7507918 0.8736036], test_acc=[0.75465 0.7078 ]
14/100: weights=[1.5063478  0.49365228], train_loss=[0.72820693 0.83626974], train_acc=[0.7625     0.71940833], test_loss=[0.71118885 0.8287367 ], test_acc=[0.7674  0.72215]
16/100: weights=[1.2786205 0.7213795], train_loss=[0.7037792  0.80618864], train_acc=[0.77080833 0.72835   ], test_loss=[0.6899768  0.79948604], test_acc=[0.77345 0.73155]
18/100: weights=[0.83668816 1.1633118 ], train_loss=[0.6789735 0.7759739], train_acc=[0.78008333 0.73808333], test_loss=[0.663382  0.7672649], test_acc=[0.7842 0.7402]
20/100: weights=[1.2020766  0.79792345], train_loss=[0.66378766 0.75396717], train_acc=[0.7851   0.745625], test_loss=[0.6515791  0.74480575], test_acc=[0.78665 0.7502 ]
22/100: weights=[1.1723847  0.82761526], train_loss=[0.6427681  0.73085153], train_acc=[0.79179167 0.75423333], test_loss=[0.6258192 0.7243766], test_acc=[0.79505 0.7562 ]
24/100: weights=[0.92306894 1.0769311 ], train_loss=[0.62856835 0.7140374 ], train_acc=[0.79655833 0.76035   ], test_loss=[0.61235124 0.7068761 ], test_acc=[0.7986  0.76325]
26/100: weights=[1.352209 0.647791], train_loss=[0.61193275 0.69782734], train_acc=[0.80326667 0.76561667], test_loss=[0.5983127  0.69113064], test_acc=[0.80455 0.7673 ]
28/100: weights=[0.823903  1.1760969], train_loss=[0.6049377  0.68533474], train_acc=[0.8042     0.77000833], test_loss=[0.5942628 0.6782393], test_acc=[0.8045 0.7717]
30/100: weights=[0.9552914 1.0447086], train_loss=[0.59286976 0.6744762 ], train_acc=[0.80896667 0.773575  ], test_loss=[0.57846457 0.66959935], test_acc=[0.81215 0.7757 ]
32/100: weights=[1.2829407  0.71705925], train_loss=[0.5867826 0.663432 ], train_acc=[0.8106     0.77714167], test_loss=[0.569907   0.65712696], test_acc=[0.8146 0.7799]
34/100: weights=[0.47691092 1.523089  ], train_loss=[0.56821275 0.65342504], train_acc=[0.817325 0.779875], test_loss=[0.5563824 0.6463008], test_acc=[0.8198  0.78395]
36/100: weights=[1.3436794  0.65632063], train_loss=[0.55712247 0.64470315], train_acc=[0.820525   0.78170833], test_loss=[0.54268956 0.6368862 ], test_acc=[0.82405 0.7864 ]
38/100: weights=[0.85752076 1.1424793 ], train_loss=[0.54977953 0.6332285 ], train_acc=[0.823275   0.78599167], test_loss=[0.53966695 0.6261952 ], test_acc=[0.82675 0.7903 ]
40/100: weights=[0.8875025 1.1124974], train_loss=[0.54279447 0.62486404], train_acc=[0.82599167 0.79006667], test_loss=[0.5321454 0.6189274], test_acc=[0.8268  0.79205]
42/100: weights=[1.2997111  0.70028895], train_loss=[0.53542215 0.6133217 ], train_acc=[0.8276     0.79409167], test_loss=[0.5239331 0.6078641], test_acc=[0.8302 0.7966]
44/100: weights=[1.4112692 0.5887308], train_loss=[0.53278273 0.60891527], train_acc=[0.829175   0.79389167], test_loss=[0.52499217 0.6025042 ], test_acc=[0.82955 0.79885]
46/100: weights=[1.641429 0.358571], train_loss=[0.5216019 0.5996336], train_acc=[0.83265833 0.79921667], test_loss=[0.5083608  0.59480256], test_acc=[0.8352  0.80115]
48/100: weights=[1.4368136 0.5631864], train_loss=[0.5167782 0.5956537], train_acc=[0.834325   0.79964167], test_loss=[0.5046242  0.59310305], test_acc=[0.8389  0.80125]
50/100: weights=[1.2987337  0.70126635], train_loss=[0.5127302  0.58814496], train_acc=[0.83601667 0.802425  ], test_loss=[0.505588  0.5840106], test_acc=[0.83745 0.80565]
52/100: weights=[0.7516539 1.2483461], train_loss=[0.5037843 0.5790188], train_acc=[0.838375   0.80579167], test_loss=[0.4941669 0.5757725], test_acc=[0.84055 0.80735]
54/100: weights=[1.3445967  0.65540326], train_loss=[0.49966523 0.57516164], train_acc=[0.8396  0.80605], test_loss=[0.48908186 0.5708456 ], test_acc=[0.8429 0.8099]
56/100: weights=[0.958163 1.041837], train_loss=[0.4920419 0.5678572], train_acc=[0.84275    0.80873333], test_loss=[0.48410156 0.5637726 ], test_acc=[0.84305 0.81095]
58/100: weights=[0.53192633 1.4680737 ], train_loss=[0.49055576 0.56413835], train_acc=[0.84233333 0.8099    ], test_loss=[0.48439366 0.5609899 ], test_acc=[0.84345 0.8109 ]
60/100: weights=[0.55840814 1.4415919 ], train_loss=[0.4873875 0.5600743], train_acc=[0.84333333 0.81265   ], test_loss=[0.47725698 0.5589374 ], test_acc=[0.8473 0.8112]
62/100: weights=[1.2684085 0.7315914], train_loss=[0.47872797 0.5528765 ], train_acc=[0.846525 0.81485 ], test_loss=[0.46965486 0.55102974], test_acc=[0.8511  0.81485]
64/100: weights=[1.4265641 0.5734359], train_loss=[0.47419113 0.5487566 ], train_acc=[0.84795833 0.816525  ], test_loss=[0.46601072 0.5470213 ], test_acc=[0.8501  0.81725]
66/100: weights=[1.164169 0.835831], train_loss=[0.47167665 0.54294693], train_acc=[0.848675   0.81835833], test_loss=[0.4646175  0.54071057], test_acc=[0.85055 0.8175 ]
68/100: weights=[0.73712295 1.262877  ], train_loss=[0.46418303 0.54184854], train_acc=[0.85121667 0.81911667], test_loss=[0.45595503 0.5420458 ], test_acc=[0.8536  0.81855]
70/100: weights=[0.94935614 1.0506438 ], train_loss=[0.464324  0.5382594], train_acc=[0.85115833 0.81965833], test_loss=[0.45722204 0.53647226], test_acc=[0.8539 0.8209]
72/100: weights=[1.2604036 0.7395964], train_loss=[0.46131757 0.531602  ], train_acc=[0.8518     0.82223333], test_loss=[0.4558108 0.532677 ], test_acc=[0.854  0.8219]
74/100: weights=[1.4359843  0.56401575], train_loss=[0.458553   0.52795327], train_acc=[0.8528     0.82290833], test_loss=[0.45431596 0.5282166 ], test_acc=[0.85275 0.8231 ]
76/100: weights=[1.2771565 0.7228436], train_loss=[0.44832247 0.5226513 ], train_acc=[0.85691667 0.825025  ], test_loss=[0.44169763 0.52204365], test_acc=[0.8583 0.8239]
