Reference vector (1/18): 0.9965845, 0.082579345
kappa to 0
kappa to 0
1/100: weights=[1.9617672  0.03823283], train_loss=[2.0726743 2.4476614], train_acc=[0.24523333 0.11563333], test_loss=[2.076632  2.4531908], test_acc=[0.24685 0.1172 ]
86/100: weights=[1.6033064  0.39669362], train_loss=[0.48480985 0.7072218 ], train_acc=[0.84269167 0.75725833], test_loss=[0.47423452 0.7069959 ], test_acc=[0.8463 0.7604]
88/100: weights=[1.7314576  0.26854247], train_loss=[0.47774923 0.70118827], train_acc=[0.84543333 0.75878333], test_loss=[0.46606407 0.70029753], test_acc=[0.84795 0.7628 ]
90/100: weights=[1.5951142  0.40488577], train_loss=[0.47247434 0.696797  ], train_acc=[0.84633333 0.75955833], test_loss=[0.45990494 0.69249475], test_acc=[0.85005 0.76385]
92/100: weights=[0.8160081 1.1839919], train_loss=[0.47233754 0.69127923], train_acc=[0.847025   0.76320833], test_loss=[0.46274439 0.6899148 ], test_acc=[0.8509  0.76695]
94/100: weights=[1.2548234  0.74517655], train_loss=[0.4655877 0.6863281], train_acc=[0.84930833 0.76489167], test_loss=[0.45536786 0.6868504 ], test_acc=[0.85155 0.76705]
96/100: weights=[1.6694932  0.33050674], train_loss=[0.47053975 0.68193877], train_acc=[0.848475 0.76675 ], test_loss=[0.45768565 0.6800518 ], test_acc=[0.8518 0.7678]
98/100: weights=[1.5535761  0.44642383], train_loss=[0.46469012 0.6792717 ], train_acc=[0.85078333 0.76801667], test_loss=[0.4554559 0.678534 ], test_acc=[0.85275 0.7706 ]
100/100: weights=[1.5621362  0.43786377], train_loss=[0.45785034 0.67465675], train_acc=[0.852275   0.76846667], test_loss=[0.44655022 0.6744191 ], test_acc=[0.8552  0.77195]
Reference vector (7/18): 0.8371665, 0.54694813
1/100: weights=[1.3983877 0.6016124], train_loss=[2.043027 2.294333], train_acc=[0.2438     0.17149167], test_loss=[2.026207  2.2916696], test_acc=[0.24755 0.17065]
2/100: weights=[1.377254 0.622746], train_loss=[1.7659307 2.2582457], train_acc=[0.38975833 0.21983333], test_loss=[1.740134  2.2540338], test_acc=[0.3956 0.2183]
4/100: weights=[1.6370884  0.36291158], train_loss=[1.4172356 2.0278156], train_acc=[0.52314167 0.31281667], test_loss=[1.391226  2.0332046], test_acc=[0.5278 0.3122]
6/100: weights=[1.4017721  0.59822786], train_loss=[1.2343291 1.8422492], train_acc=[0.58873333 0.372025  ], test_loss=[1.2054232 1.8505976], test_acc=[0.59575 0.37015]
8/100: weights=[1.0084323  0.99156773], train_loss=[1.1233902 1.6759642], train_acc=[0.63145  0.426175], test_loss=[1.0959624 1.6854733], test_acc=[0.6352  0.42435]
10/100: weights=[1.500446   0.49955407], train_loss=[1.030943  1.5446572], train_acc=[0.66258333 0.468325  ], test_loss=[1.0039325 1.5489079], test_acc=[0.6669 0.4661]
12/100: weights=[1.320773 0.679227], train_loss=[0.96338385 1.4460007 ], train_acc=[0.68471667 0.50009167], test_loss=[0.9355975 1.4454017], test_acc=[0.6908  0.49685]
14/100: weights=[1.1634414 0.8365585], train_loss=[0.9045087 1.360838 ], train_acc=[0.70588333 0.52845   ], test_loss=[0.87687355 1.3576114 ], test_acc=[0.7118  0.52625]
16/100: weights=[1.7906612  0.20933878], train_loss=[0.85421956 1.2851565 ], train_acc=[0.721975   0.55246667], test_loss=[0.82643276 1.2804265 ], test_acc=[0.7293  0.55345]
18/100: weights=[1.6510447  0.34895524], train_loss=[0.8119521 1.2314646], train_acc=[0.73550833 0.57100833], test_loss=[0.7864443 1.2262491], test_acc=[0.74065 0.5698 ]
20/100: weights=[1.4105006 0.5894993], train_loss=[0.7757558 1.1763804], train_acc=[0.74826667 0.590475  ], test_loss=[0.7495325 1.1686871], test_acc=[0.75435 0.58995]
22/100: weights=[1.759196  0.2408039], train_loss=[0.7459856 1.1343422], train_acc=[0.75896667 0.60395833], test_loss=[0.72234374 1.1253172 ], test_acc=[0.76375 0.60365]
24/100: weights=[1.4651996  0.53480035], train_loss=[0.7193596 1.0937403], train_acc=[0.767025 0.619175], test_loss=[0.6964439 1.0857676], test_acc=[0.7719  0.61945]
26/100: weights=[1.6476718  0.35232818], train_loss=[0.7035019 1.0589881], train_acc=[0.773175 0.631075], test_loss=[0.6788564 1.0482416], test_acc=[0.77795 0.63095]
28/100: weights=[1.5401773 0.4598226], train_loss=[0.6757174 1.0310909], train_acc=[0.78235833 0.64025833], test_loss=[0.65414935 1.02061   ], test_acc=[0.78315 0.64075]
30/100: weights=[1.008354  0.9916461], train_loss=[0.65550184 1.00368   ], train_acc=[0.78875833 0.65129167], test_loss=[0.63450336 0.9933471 ], test_acc=[0.7924  0.65295]
32/100: weights=[1.4875312 0.5124689], train_loss=[0.6437925 0.9831322], train_acc=[0.79285    0.65950833], test_loss=[0.6234068 0.9722751], test_acc=[0.79475 0.66215]
34/100: weights=[1.2581446 0.7418554], train_loss=[0.6297843 0.9642263], train_acc=[0.79756667 0.66541667], test_loss=[0.61053747 0.9526431 ], test_acc=[0.79995 0.66815]
36/100: weights=[1.4338673  0.56613266], train_loss=[0.6165942  0.94202113], train_acc=[0.80105833 0.67451667], test_loss=[0.5965675 0.9304065], test_acc=[0.80265 0.6773 ]
38/100: weights=[1.7167773 0.2832227], train_loss=[0.6042076 0.9254139], train_acc=[0.80481667 0.67901667], test_loss=[0.58415   0.9137349], test_acc=[0.80815 0.6815 ]
40/100: weights=[1.0439464 0.9560536], train_loss=[0.59194636 0.91330296], train_acc=[0.80963333 0.68261667], test_loss=[0.5746847  0.89935607], test_acc=[0.8105 0.6863]
42/100: weights=[1.8864516  0.11354835], train_loss=[0.5844323 0.8957603], train_acc=[0.81216667 0.6912    ], test_loss=[0.5660564 0.8822535], test_acc=[0.8146  0.69345]
44/100: weights=[1.7752432  0.22475682], train_loss=[0.573699   0.88190657], train_acc=[0.81574167 0.69708333], test_loss=[0.5576092 0.8689361], test_acc=[0.8165 0.7005]
46/100: weights=[1.4095689  0.59043115], train_loss=[0.5676373  0.87178063], train_acc=[0.8176     0.69969167], test_loss=[0.55145776 0.8591081 ], test_acc=[0.81695 0.70325]
48/100: weights=[1.2392216 0.7607785], train_loss=[0.55567324 0.85833013], train_acc=[0.82100833 0.70536667], test_loss=[0.5385241  0.84513694], test_acc=[0.8229  0.70695]
50/100: weights=[1.5036682  0.49633184], train_loss=[0.55016834 0.8461893 ], train_acc=[0.82318333 0.7092    ], test_loss=[0.53329325 0.83246285], test_acc=[0.82565 0.71155]
52/100: weights=[1.3601409 0.6398591], train_loss=[0.5420125 0.8356071], train_acc=[0.82604167 0.71438333], test_loss=[0.52576274 0.8230279 ], test_acc=[0.82775 0.7166 ]
54/100: weights=[1.2600707 0.7399293], train_loss=[0.53763855 0.82638097], train_acc=[0.827075   0.71776667], test_loss=[0.521354  0.8140508], test_acc=[0.82735 0.72005]
56/100: weights=[1.6886433  0.31135663], train_loss=[0.5350544  0.81761295], train_acc=[0.828825   0.72038333], test_loss=[0.52011204 0.80462354], test_acc=[0.82995 0.722  ]
58/100: weights=[1.5591776  0.44082236], train_loss=[0.52304846 0.8081815 ], train_acc=[0.83185 0.72485], test_loss=[0.50807637 0.7942497 ], test_acc=[0.8327 0.726 ]
60/100: weights=[0.9915641 1.0084358], train_loss=[0.5192687  0.80139506], train_acc=[0.83310833 0.72573333], test_loss=[0.50628406 0.7862154 ], test_acc=[0.83395 0.7277 ]
62/100: weights=[1.7461239  0.25387612], train_loss=[0.5134625 0.7898595], train_acc=[0.83485  0.729625], test_loss=[0.5013761 0.7751934], test_acc=[0.8361  0.73175]
64/100: weights=[1.5711778 0.4288221], train_loss=[0.5095586 0.7854205], train_acc=[0.837      0.73131667], test_loss=[0.49457222 0.7694871 ], test_acc=[0.83695 0.7331 ]
66/100: weights=[1.0526965 0.9473035], train_loss=[0.50049555 0.7759374 ], train_acc=[0.83970833 0.735425  ], test_loss=[0.4879461  0.76111054], test_acc=[0.8393  0.73885]
68/100: weights=[1.4939333  0.50606674], train_loss=[0.49571115 0.7688811 ], train_acc=[0.840675 0.7373  ], test_loss=[0.4829851 0.7530535], test_acc=[0.84015 0.7417 ]
70/100: weights=[1.1737123 0.8262877], train_loss=[0.4925656 0.7623913], train_acc=[0.84201667 0.739525  ], test_loss=[0.4792807 0.7451533], test_acc=[0.84315 0.74105]
72/100: weights=[1.461773   0.53822696], train_loss=[0.48797408 0.7546171 ], train_acc=[0.843625 0.741725], test_loss=[0.477369  0.7374926], test_acc=[0.84455 0.7437 ]
74/100: weights=[1.6608208 0.3391792], train_loss=[0.4865931 0.748214 ], train_acc=[0.84476667 0.74545   ], test_loss=[0.47652107 0.7328103 ], test_acc=[0.84375 0.7494 ]
76/100: weights=[1.5030955 0.4969045], train_loss=[0.4802317 0.7425775], train_acc=[0.8468   0.746725], test_loss=[0.46725702 0.7254444 ], test_acc=[0.84705 0.7505 ]
78/100: weights=[1.563562 0.436438], train_loss=[0.48231792 0.73781544], train_acc=[0.84634167 0.748275  ], test_loss=[0.471477   0.72241515], test_acc=[0.8464  0.75255]
80/100: weights=[1.0715468  0.92845315], train_loss=[0.46936107 0.73005867], train_acc=[0.84989167 0.75069167], test_loss=[0.45847625 0.7132993 ], test_acc=[0.85    0.75425]
82/100: weights=[1.5008621  0.49913785], train_loss=[0.46870467 0.72255933], train_acc=[0.850025 0.755175], test_loss=[0.45730984 0.70730615], test_acc=[0.84855 0.7584 ]
84/100: weights=[1.5819081  0.41809183], train_loss=[0.46665624 0.7200472 ], train_acc=[0.84939167 0.754825  ], test_loss=[0.45784962 0.70398396], test_acc=[0.84955 0.7592 ]
86/100: weights=[1.3901663  0.60983366], train_loss=[0.46166915 0.7139304 ], train_acc=[0.851975   0.75644167], test_loss=[0.4524461 0.6970242], test_acc=[0.8519  0.75975]
88/100: weights=[1.4611772 0.5388228], train_loss=[0.4568965 0.7081378], train_acc=[0.85308333 0.75856667], test_loss=[0.4486972 0.6908428], test_acc=[0.8526 0.7625]
90/100: weights=[1.6148071 0.3851928], train_loss=[0.46042606 0.7055848 ], train_acc=[0.85143333 0.759725  ], test_loss=[0.45320258 0.68919927], test_acc=[0.8507 0.7634]
92/100: weights=[1.3600911  0.63990897], train_loss=[0.45283312 0.70100504], train_acc=[0.85550833 0.76210833], test_loss=[0.44491622 0.68572646], test_acc=[0.8549  0.76805]
94/100: weights=[1.2234505 0.7765494], train_loss=[0.45324644 0.6950685 ], train_acc=[0.85405833 0.76324167], test_loss=[0.44349468 0.6778847 ], test_acc=[0.8534 0.7695]
96/100: weights=[1.1929832  0.80701685], train_loss=[0.44884273 0.69313115], train_acc=[0.85583333 0.763775  ], test_loss=[0.44101322 0.6744051 ], test_acc=[0.8535  0.76885]
98/100: weights=[1.1460814  0.85391855], train_loss=[0.44704583 0.6855412 ], train_acc=[0.85703333 0.76661667], test_loss=[0.4381783  0.66764593], test_acc=[0.85685 0.77295]
100/100: weights=[1.3906488 0.6093512], train_loss=[0.44439542 0.6826391 ], train_acc=[0.8578  0.76825], test_loss=[0.4382258  0.66615105], test_acc=[0.85715 0.7746 ]
Reference vector (8/18): 0.7891405, 0.6142127
1/100: weights=[1.4426188 0.5573811], train_loss=[1.8242157 2.2167246], train_acc=[0.37193333 0.223425  ], test_loss=[1.8217173 2.1989658], test_acc=[0.36845 0.22695]
2/100: weights=[1.4292568  0.57074314], train_loss=[1.5415984 2.0177333], train_acc=[0.485375   0.31071667], test_loss=[1.539002  2.0014625], test_acc=[0.4822 0.3166]
4/100: weights=[1.5220841 0.4779159], train_loss=[1.2414267 1.6397755], train_acc=[0.59479167 0.44970833], test_loss=[1.2347564 1.6218622], test_acc=[0.59675 0.4555 ]
6/100: weights=[0.96330243 1.0366975 ], train_loss=[1.1013236 1.4638757], train_acc=[0.64281667 0.5075    ], test_loss=[1.0963926 1.4483584], test_acc=[0.6416 0.5125]
8/100: weights=[1.74179    0.25820988], train_loss=[0.9965486 1.3622693], train_acc=[0.67618333 0.54355833], test_loss=[0.99227464 1.3458138 ], test_acc=[0.67465 0.54885]
10/100: weights=[1.0107902 0.9892097], train_loss=[0.9171377 1.2696403], train_acc=[0.70303333 0.57364167], test_loss=[0.9126394 1.2519469], test_acc=[0.7006  0.57995]
12/100: weights=[0.95941144 1.0405886 ], train_loss=[0.85628825 1.2008101 ], train_acc=[0.72311667 0.59865833], test_loss=[0.85034645 1.1870549 ], test_acc=[0.72055 0.60465]
14/100: weights=[1.3352076 0.6647924], train_loss=[0.80531996 1.1341513 ], train_acc=[0.739425   0.62084167], test_loss=[0.79933447 1.120122  ], test_acc=[0.73885 0.62695]
16/100: weights=[1.1531434 0.8468566], train_loss=[0.7575343 1.0766941], train_acc=[0.75575833 0.6402    ], test_loss=[0.7508226 1.061471 ], test_acc=[0.75505 0.64835]
18/100: weights=[1.5600711  0.43992892], train_loss=[0.7231031 1.0313401], train_acc=[0.7676     0.65416667], test_loss=[0.7154584 1.0158672], test_acc=[0.7666 0.6618]
20/100: weights=[1.0995262 0.9004739], train_loss=[0.69243985 0.9902725 ], train_acc=[0.77671667 0.66888333], test_loss=[0.68283117 0.97558594], test_acc=[0.77715 0.67455]
22/100: weights=[1.4290569  0.57094306], train_loss=[0.6716932  0.95418704], train_acc=[0.78438333 0.68104167], test_loss=[0.66236734 0.9401869 ], test_acc=[0.7859  0.68635]
24/100: weights=[1.4125937 0.5874062], train_loss=[0.6505301 0.9189991], train_acc=[0.79021667 0.69181667], test_loss=[0.64337325 0.906792  ], test_acc=[0.7927 0.7004]
26/100: weights=[1.0776674  0.92233264], train_loss=[0.61902845 0.8876709 ], train_acc=[0.80016667 0.70325833], test_loss=[0.61061984 0.87598395], test_acc=[0.80195 0.7089 ]
28/100: weights=[1.1734059 0.8265941], train_loss=[0.6072927 0.8631229], train_acc=[0.80405    0.71209167], test_loss=[0.60030395 0.8521591 ], test_acc=[0.80675 0.71855]
30/100: weights=[1.6110842  0.38891578], train_loss=[0.58712935 0.8405831 ], train_acc=[0.81041667 0.71853333], test_loss=[0.57926065 0.82921535], test_acc=[0.8125 0.7256]
32/100: weights=[0.88538826 1.1146117 ], train_loss=[0.57806766 0.8163576 ], train_acc=[0.81394167 0.72705833], test_loss=[0.5714731  0.80668885], test_acc=[0.8158 0.7332]
34/100: weights=[0.9167566 1.0832434], train_loss=[0.560203  0.7980828], train_acc=[0.820025   0.73431667], test_loss=[0.5561998  0.79079056], test_acc=[0.81955 0.74075]
36/100: weights=[1.0551877  0.94481236], train_loss=[0.547131   0.77813685], train_acc=[0.8236 0.7394], test_loss=[0.5432354  0.77081454], test_acc=[0.82415 0.7441 ]
38/100: weights=[1.481353 0.518647], train_loss=[0.5465322  0.76688516], train_acc=[0.82354167 0.74293333], test_loss=[0.5404294 0.7598627], test_acc=[0.82465 0.74595]
40/100: weights=[1.0473721  0.95262784], train_loss=[0.5286687  0.74879897], train_acc=[0.82986667 0.7489    ], test_loss=[0.52574205 0.74136925], test_acc=[0.82935 0.7543 ]
42/100: weights=[1.5812619  0.41873816], train_loss=[0.5259893  0.73607785], train_acc=[0.83066667 0.7532    ], test_loss=[0.52304894 0.73225576], test_acc=[0.8306  0.75765]
44/100: weights=[1.3784598  0.62154025], train_loss=[0.51051384 0.7230416 ], train_acc=[0.83565    0.75789167], test_loss=[0.5083393 0.7181757], test_acc=[0.83565 0.7621 ]
46/100: weights=[1.651234 0.348766], train_loss=[0.5073182 0.7149912], train_acc=[0.83669167 0.76078333], test_loss=[0.5025348  0.70963115], test_acc=[0.8371  0.76445]
48/100: weights=[1.7703379  0.22966205], train_loss=[0.4949715 0.7018008], train_acc=[0.84078333 0.764525  ], test_loss=[0.49379626 0.6975558 ], test_acc=[0.8406 0.7679]
50/100: weights=[0.95535797 1.0446421 ], train_loss=[0.4904373  0.69252414], train_acc=[0.84208333 0.76829167], test_loss=[0.48784962 0.68870795], test_acc=[0.8428  0.77215]
52/100: weights=[1.229263  0.7707371], train_loss=[0.48471597 0.68586683], train_acc=[0.84421667 0.77074167], test_loss=[0.48272577 0.6840497 ], test_acc=[0.84345 0.7717 ]
54/100: weights=[1.7294658  0.27053413], train_loss=[0.47658673 0.67586327], train_acc=[0.84629167 0.77383333], test_loss=[0.4739719 0.6717984], test_acc=[0.8461 0.7768]
56/100: weights=[1.4513258 0.5486743], train_loss=[0.4758194  0.66994613], train_acc=[0.84709167 0.77680833], test_loss=[0.4752744  0.66564083], test_acc=[0.84535 0.7802 ]
58/100: weights=[1.0736259 0.9263741], train_loss=[0.4641768 0.6593158], train_acc=[0.8503     0.77908333], test_loss=[0.46411878 0.6547707 ], test_acc=[0.84855 0.7823 ]
60/100: weights=[1.2702862  0.72971386], train_loss=[0.4607876  0.65371907], train_acc=[0.851075   0.78244167], test_loss=[0.46053252 0.6496627 ], test_acc=[0.84975 0.78375]
62/100: weights=[0.8001661 1.1998339], train_loss=[0.454084  0.6466567], train_acc=[0.8533   0.782925], test_loss=[0.45473036 0.6414921 ], test_acc=[0.8519  0.78715]
64/100: weights=[1.3084675  0.69153255], train_loss=[0.45177677 0.6409323 ], train_acc=[0.85479167 0.78645833], test_loss=[0.4536131 0.637562 ], test_acc=[0.8525  0.78845]
66/100: weights=[1.1777668  0.82223326], train_loss=[0.4453615 0.6314927], train_acc=[0.8563     0.78956667], test_loss=[0.4459627 0.6280162], test_acc=[0.85485 0.79035]
68/100: weights=[1.1870233 0.8129768], train_loss=[0.4431792  0.62821627], train_acc=[0.85664167 0.79116667], test_loss=[0.44340134 0.6242355 ], test_acc=[0.85435 0.79305]
70/100: weights=[1.4598237 0.5401763], train_loss=[0.44247717 0.62441087], train_acc=[0.85773333 0.791175  ], test_loss=[0.4420496  0.62269527], test_acc=[0.85565 0.7922 ]
72/100: weights=[1.2600304 0.7399696], train_loss=[0.4398153 0.6151361], train_acc=[0.85905833 0.79509167], test_loss=[0.44283745 0.6126369 ], test_acc=[0.85675 0.7961 ]
74/100: weights=[0.920164 1.079836], train_loss=[0.43253866 0.6107187 ], train_acc=[0.86070833 0.79646667], test_loss=[0.4340732 0.6082613], test_acc=[0.8574 0.7984]
76/100: weights=[1.1737609  0.82623905], train_loss=[0.42746213 0.6072522 ], train_acc=[0.86195 0.7974 ], test_loss=[0.42949253 0.60524917], test_acc=[0.8608  0.79975]
78/100: weights=[0.8955957 1.1044042], train_loss=[0.42532545 0.6006288 ], train_acc=[0.8628     0.79969167], test_loss=[0.42574254 0.5993028 ], test_acc=[0.8608  0.80225]
80/100: weights=[1.4269835  0.57301646], train_loss=[0.4235244 0.5965238], train_acc=[0.863225   0.80136667], test_loss=[0.42533696 0.5938838 ], test_acc=[0.8609 0.805 ]
82/100: weights=[0.5502119 1.4497881], train_loss=[0.4165474 0.5921898], train_acc=[0.86595  0.802575], test_loss=[0.41900477 0.58968836], test_acc=[0.86285 0.80495]
84/100: weights=[1.6370189  0.36298108], train_loss=[0.4245505  0.58866286], train_acc=[0.86351667 0.80368333], test_loss=[0.42975435 0.5866023 ], test_acc=[0.85915 0.8063 ]
86/100: weights=[1.790148   0.20985194], train_loss=[0.41415492 0.58813125], train_acc=[0.86633333 0.8038    ], test_loss=[0.4167436  0.58501023], test_acc=[0.86435 0.8081 ]
88/100: weights=[1.2041479 0.795852 ], train_loss=[0.41958576 0.5806625 ], train_acc=[0.863975 0.805975], test_loss=[0.42304927 0.57723635], test_acc=[0.8618  0.80945]
90/100: weights=[1.2708843  0.72911566], train_loss=[0.407553  0.5778469], train_acc=[0.86854167 0.80775   ], test_loss=[0.40997842 0.5743658 ], test_acc=[0.8656 0.8113]
92/100: weights=[1.3557307 0.6442694], train_loss=[0.40986383 0.57867277], train_acc=[0.867525   0.80714167], test_loss=[0.4116421 0.5756044], test_acc=[0.86595 0.8095 ]
94/100: weights=[1.7268404  0.27315962], train_loss=[0.40523353 0.57164717], train_acc=[0.86945    0.80981667], test_loss=[0.40960047 0.5700905 ], test_acc=[0.8649 0.8127]
96/100: weights=[1.2450854 0.7549146], train_loss=[0.40236098 0.5649122 ], train_acc=[0.87024167 0.81180833], test_loss=[0.4057463 0.5634919], test_acc=[0.8673  0.81395]
98/100: weights=[1.3097792 0.6902209], train_loss=[0.39589095 0.563219  ], train_acc=[0.87261667 0.81265833], test_loss=[0.39822906 0.5635921 ], test_acc=[0.8687  0.81445]
100/100: weights=[1.2511755 0.7488245], train_loss=[0.39430338 0.55947936], train_acc=[0.873075   0.81381667], test_loss=[0.3965014  0.55764633], test_acc=[0.8693 0.8165]
Reference vector (9/18): 0.7357239, 0.67728156
1/100: weights=[0.8483132 1.1516868], train_loss=[1.9971375 2.124704 ], train_acc=[0.29959167 0.23920833], test_loss=[1.995701  2.1073422], test_acc=[0.29975 0.247  ]
2/100: weights=[1.1735795 0.8264206], train_loss=[1.7415301 1.9120581], train_acc=[0.39861667 0.3374    ], test_loss=[1.7449065 1.897523 ], test_acc=[0.392  0.3451]
4/100: weights=[1.1283764 0.8716236], train_loss=[1.3665795 1.5554584], train_acc=[0.54026667 0.462625  ], test_loss=[1.3591313 1.5442075], test_acc=[0.5387  0.46945]
6/100: weights=[1.1910033 0.8089967], train_loss=[1.1735855 1.3688011], train_acc=[0.60959167 0.527275  ], test_loss=[1.1609242 1.3509616], test_acc=[0.6127 0.5383]
8/100: weights=[0.9235314 1.0764686], train_loss=[1.0381259 1.238209 ], train_acc=[0.65806667 0.57574167], test_loss=[1.0222604 1.2201252], test_acc=[0.66   0.5841]
10/100: weights=[0.52066904 1.4793309 ], train_loss=[0.94898546 1.1341444 ], train_acc=[0.68799167 0.61406667], test_loss=[0.93514687 1.118023  ], test_acc=[0.68775 0.6209 ]
12/100: weights=[0.85138273 1.1486173 ], train_loss=[0.8864166 1.0590719], train_acc=[0.71024167 0.640625  ], test_loss=[0.8674713 1.0430511], test_acc=[0.7127 0.6437]
14/100: weights=[0.52438885 1.4756111 ], train_loss=[0.8365917 1.000069 ], train_acc=[0.72648333 0.65958333], test_loss=[0.81730753 0.9846519 ], test_acc=[0.72945 0.66155]
16/100: weights=[0.8274372 1.1725627], train_loss=[0.7938406 0.9433707], train_acc=[0.73985833 0.68163333], test_loss=[0.77532303 0.93217725], test_acc=[0.74515 0.6815 ]
18/100: weights=[1.3126185  0.68738157], train_loss=[0.76190615 0.90314233], train_acc=[0.750875   0.69556667], test_loss=[0.74034286 0.8947986 ], test_acc=[0.7566 0.6948]
20/100: weights=[0.99964267 1.0003574 ], train_loss=[0.7326738 0.866722 ], train_acc=[0.76055833 0.70845833], test_loss=[0.71285176 0.8582293 ], test_acc=[0.7657 0.7086]
22/100: weights=[1.4378448  0.56215525], train_loss=[0.70927244 0.8377478 ], train_acc=[0.76848333 0.71845833], test_loss=[0.6911766 0.8299688], test_acc=[0.7755  0.71855]
24/100: weights=[0.43734095 1.562659  ], train_loss=[0.6896522 0.8109808], train_acc=[0.77485833 0.7283    ], test_loss=[0.672366   0.80377996], test_acc=[0.77995 0.7281 ]
26/100: weights=[1.0427918 0.9572081], train_loss=[0.67040193 0.78750175], train_acc=[0.78208333 0.735375  ], test_loss=[0.65089285 0.7793271 ], test_acc=[0.788   0.73595]
28/100: weights=[1.4538355 0.5461645], train_loss=[0.65559644 0.76620585], train_acc=[0.7875     0.74350833], test_loss=[0.635658 0.757905], test_acc=[0.7936 0.7432]
30/100: weights=[0.8567557 1.1432444], train_loss=[0.6412104  0.74621665], train_acc=[0.79131667 0.75056667], test_loss=[0.6242828 0.7393661], test_acc=[0.7959  0.74995]
32/100: weights=[1.3776206  0.62237936], train_loss=[0.63559943 0.73039246], train_acc=[0.79238333 0.75543333], test_loss=[0.62368166 0.72288126], test_acc=[0.7942 0.7555]
34/100: weights=[0.65693444 1.3430656 ], train_loss=[0.61796707 0.71923304], train_acc=[0.799      0.75971667], test_loss=[0.6022782 0.7152737], test_acc=[0.802  0.7575]
36/100: weights=[1.008756  0.9912439], train_loss=[0.60512435 0.7029543 ], train_acc=[0.80358333 0.76490833], test_loss=[0.5905738 0.6951271], test_acc=[0.806   0.76445]
38/100: weights=[0.5728715 1.4271286], train_loss=[0.59537536 0.69833976], train_acc=[0.80585    0.76623333], test_loss=[0.58073777 0.6900783 ], test_acc=[0.81005 0.76605]
40/100: weights=[1.1821111  0.81788886], train_loss=[0.5835432  0.67978317], train_acc=[0.81075 0.7727 ], test_loss=[0.5691707 0.6751674], test_acc=[0.81325 0.77285]
42/100: weights=[0.8175294 1.1824707], train_loss=[0.57844305 0.6727894 ], train_acc=[0.81223333 0.775025  ], test_loss=[0.5654156  0.66653687], test_acc=[0.81355 0.775  ]
44/100: weights=[0.44128513 1.5587149 ], train_loss=[0.5694356 0.658837 ], train_acc=[0.81556667 0.77985833], test_loss=[0.5554773 0.6528058], test_acc=[0.818   0.78175]
46/100: weights=[1.1239715 0.8760285], train_loss=[0.55784494 0.65566957], train_acc=[0.81909167 0.78068333], test_loss=[0.54612035 0.65371317], test_acc=[0.82045 0.7804 ]
48/100: weights=[0.6690065 1.3309935], train_loss=[0.55550647 0.6425944 ], train_acc=[0.82045833 0.78490833], test_loss=[0.54313457 0.639168  ], test_acc=[0.8213  0.78535]
50/100: weights=[1.0775996 0.9224004], train_loss=[0.54639536 0.6358133 ], train_acc=[0.82325 0.78685], test_loss=[0.53348494 0.6304189 ], test_acc=[0.8243  0.78625]
52/100: weights=[1.3531202  0.64687973], train_loss=[0.5388592 0.6273948], train_acc=[0.82515833 0.790375  ], test_loss=[0.5324312 0.6234864], test_acc=[0.8247  0.79025]
54/100: weights=[0.9437007 1.0562993], train_loss=[0.5318065 0.6210511], train_acc=[0.82806667 0.79241667], test_loss=[0.5211145 0.6174171], test_acc=[0.828   0.79165]
56/100: weights=[0.8520928 1.1479071], train_loss=[0.5243892  0.61419916], train_acc=[0.83074167 0.79359167], test_loss=[0.5174605 0.6107434], test_acc=[0.82945 0.7925 ]
58/100: weights=[1.1102362  0.88976383], train_loss=[0.52054894 0.61020947], train_acc=[0.831375 0.79565 ], test_loss=[0.51544124 0.6099418 ], test_acc=[0.83095 0.79485]
60/100: weights=[1.1252981 0.8747019], train_loss=[0.5195853 0.6029446], train_acc=[0.83258333 0.79855833], test_loss=[0.51282585 0.60153645], test_acc=[0.8322 0.799 ]
62/100: weights=[0.9912549 1.0087451], train_loss=[0.5116377 0.5985938], train_acc=[0.83485833 0.79965833], test_loss=[0.5054537 0.5954172], test_acc=[0.83325 0.7998 ]
64/100: weights=[1.0308734 0.9691265], train_loss=[0.5061174  0.59407914], train_acc=[0.83645833 0.80120833], test_loss=[0.5035945 0.5919893], test_acc=[0.83425 0.8008 ]
66/100: weights=[1.0806766  0.91932344], train_loss=[0.4962587 0.5844712], train_acc=[0.83931667 0.80434167], test_loss=[0.49072948 0.5826468 ], test_acc=[0.8386  0.80385]
68/100: weights=[0.83674455 1.1632555 ], train_loss=[0.49338135 0.5852475 ], train_acc=[0.84038333 0.80325833], test_loss=[0.4880885 0.5841019], test_acc=[0.83895 0.7986 ]
70/100: weights=[1.576674   0.42332605], train_loss=[0.49265406 0.57850933], train_acc=[0.84125833 0.80685   ], test_loss=[0.48828223 0.57931143], test_acc=[0.8399  0.80535]
72/100: weights=[1.0855432  0.91445684], train_loss=[0.48642495 0.57337505], train_acc=[0.8433     0.80759167], test_loss=[0.48182994 0.56908363], test_acc=[0.841   0.80515]
74/100: weights=[0.9034511 1.0965489], train_loss=[0.47905195 0.5660773 ], train_acc=[0.84473333 0.81068333], test_loss=[0.47614443 0.5668414 ], test_acc=[0.84385 0.80905]
76/100: weights=[0.9512251 1.0487748], train_loss=[0.47351843 0.5653921 ], train_acc=[0.846525   0.81175833], test_loss=[0.47208723 0.5651571 ], test_acc=[0.84575 0.8102 ]
